decision_id,cohort_id,subject_candidacy_id,proposed_occurrence_key,observed_ballot_name,election_date,jurisdiction,office,district,decision,ingestion_action,identity_bridge,result_source_authority,result_source_resource,result_source_locator,rationale
mcd_b3e55dac2580550ca0b47a3071c6058e,toronto-mayor-2026,can_b43d9b5795cf5aed9b587a956e49951b,2011:elections_canada:mp:ajax-pickering,Chris Alexander,2011-05-02,"Canada, Ontario",mp,Ajax-Pickering,confirm,add_backfill,House of Commons member record and current campaign biography identify the former Ajax-Pickering MP and minister.,Elections Canada,41st general election official results,https://www.elections.ca/Scripts/VIS/HistoricalResults/35001_e.html,Official result and explicit parliamentary/campaign identity continuity agree.
mcd_d3881eb6b87d53eb8395c15fedfb83a0,toronto-mayor-2026,can_b43d9b5795cf5aed9b587a956e49951b,2015:elections_canada:mp:ajax,Chris Alexander,2015-10-19,"Canada, Ontario",mp,Ajax,confirm,add_backfill,House of Commons member record and current campaign biography identify the former Ajax MP and minister.,Elections Canada,42nd general election official results,https://www.elections.ca/res/rep/off/ovr2015app/41/table12E.html,Official result and explicit parliamentary/campaign identity continuity agree.
mcd_5960d2cd08a653bfa582e68950cb91a7,toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,2022:toronto_city_clerk:mayor:city,Cory Deville,2022-10-24,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Current candidate-authored biography and contemporaneous reporting identify the same Toronto entrepreneur and mayoral candidate.,Toronto City Clerk,2022 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,Independent reports agree on exact result and identity continuity.
mcd_95f52ab886155f6c9b818d8f44b789cc,toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,2023:toronto_city_clerk:mayor:city,Cory Deville,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Current candidate-authored biography and contemporaneous reporting identify the same Toronto entrepreneur and repeat mayoral candidate.,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Independent reports agree on exact result and identity continuity.
mcd_9dd363713a325b3c90da3de65365ec8a,toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,2024:elections_canada:mp:35090,Cory Deville,2024-06-24,"Canada, Ontario",mp,Toronto-St. Paul's,hold,none,,Elections Canada,2024 Toronto-St. Paul's by-election official results,https://www.elections.ca/content.aspx?dir=rep%2Foff%2Fsta_apr25&document=p7&lang=e&section=res,Elections Canada records a London resident and academic; no explicit identity bridge resolves that conflict with the Toronto business profile.
mcd_dac7a4540bb75fa7bc704f4251d5a307,toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,2025:elections_ontario:mpp:109,CORY DEVILLE,2025-02-27,"Ontario, Canada",mpp,Toronto Centre,confirm,reuse_existing,Candidate-authored biography and Deville Party records connect the same distinctive Toronto political identity.,Elections Ontario,2025 official tabulation for Toronto Centre,https://results.elections.on.ca/api/report-groups/48/report-outputs/1096/csv,Official result and multi-source Toronto political continuity agree.
mcd_aff01e946a88556e94d9aef92f3e42eb,toronto-mayor-2026,can_78d2d90590f25246a4c4059b5f3a5736,2025:toronto_city_clerk:councillor:ward-25,Darrell Brown,2025-09-29,"Toronto, Ontario",councillor,Ward 25 Scarborough-Rouge Park,confirm,reuse_existing,Official 2025 candidate listing and 2026 campaign use the same website telephone and Scarborough identity.,Toronto City Clerk,2025 Ward 25 by-election declaration,https://www.toronto.ca/wp-content/uploads/2025/09/97f1-Declaration-of-Results-Councillor-Ward-25-ByElection.pdf,Independent reports agree on exact result and direct campaign-contact continuity.
mcd_02486c27359a5504ac3f6d7d8a77573a,toronto-mayor-2026,can_52f3f65dbd5a5867b98898a8500161d5,2023:toronto_city_clerk:mayor:city,Xiao Hua Gong,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Ontario Capital Markets Tribunal explicitly identifies Xiao Hua as Edward Gong.,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Official result and explicit legal-name bridge agree.
mcd_4df7d8be13eb50748fe319949e61c6de,toronto-mayor-2026,can_52f3f65dbd5a5867b98898a8500161d5,2024:mississauga_city_clerk:mayor:city,Xiaohua Gong,2024-06-10,"Mississauga, Ontario",mayor,City of Mississauga,confirm,add_backfill,Tribunal name bridge and candidate-controlled 2025 campaign chronology identify the same Xiaohua Gong.,City of Mississauga,2024 mayoral by-election official results,https://www.mississauga.ca/wp-content/uploads/2025/12/01114423/by-election-official-results-2024.pdf,Certified result and multi-source name/campaign continuity agree.
mcd_e8fb42d2fdc551f1abfa151077ab4c51,toronto-mayor-2026,can_52f3f65dbd5a5867b98898a8500161d5,2025:elections_canada:mp:35023,Xiaohua Gong,2025-04-28,"Canada, Ontario",mp,Don Valley North,confirm,reuse_existing,Tribunal name bridge and candidate-controlled federal campaign chronology identify the same Xiaohua Gong.,Elections Canada,45th general election official results,https://www.elections.ca/scripts/vis/PastResults?ED=35023&EV=99&EV_TYPE=6&L=e&MAPID=35037&PAGEID=28&QID=-1,Official result and multi-source name/campaign continuity agree.
mcd_cf354e3b39f355c381d618abc991c32b,toronto-mayor-2026,can_8a1f2fdbcf8a596f87ed81adafa3eeca,2025:elections_ontario:mpp:094,GUS PROKOS,2025-02-27,"Ontario, Canada",mpp,Scarborough Centre,hold,none,,Elections Ontario,2025 official tabulation for Scarborough Centre,https://www.elections.on.ca/content/dam/NGW/sitecontent/2025/results/Vote%20Totals%20From%20Official%20Tabulation%20-%20Scarborough%20Centre%20094.pdf,Official result is exact but no qualifying bridge links its candidate to the 2026 filer.
mcd_c32bd8af722e5fe4983ac02eb8487bb8,toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,2021:elections_canada:mp:35109,Habiba Desai,2021-09-20,"Canada, Ontario",mp,Toronto-Danforth,confirm,reuse_existing,First-person 2024 questionnaire and current campaign account establish the same East York consultant and repeat candidate.,Elections Canada,44th general election official results,https://www.elections.ca/res/rep/off/ovr2021app/53/table12E.html,Official result and multi-source personal and campaign continuity agree.
mcd_cc9f21949b5150bd912847ae81f0dd2c,toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,2022:toronto_city_clerk:councillor:ward-24,Habiba Desai,2022-10-24,"Toronto, Ontario",councillor,Ward 24 Scarborough-Guildwood,confirm,reuse_existing,First-person questionnaire explicitly states the 2022 Ward 24 run and supplies personal continuity.,Toronto City Clerk,2022 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,Official result and explicit candidate-authored continuity agree.
mcd_fc7a64a2041656619b200d52a3afaa67,toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,2023:toronto_city_clerk:mayor:city,Habiba Desai,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,First-person and current campaign sources establish the same repeat Toronto candidate.,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Official result and continuous campaign identity agree.
mcd_1d754baf3cf25ee39f597ca90ccb48db,toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,2023:elections_ontario:mpp:095,HABIBA DESAI,2023-07-27,"Ontario, Canada",mpp,Scarborough-Guildwood,confirm,reuse_existing,First-person and campaign sources establish the same Scarborough-East York consultant and repeat candidate.,Elections Ontario,2023 Scarborough-Guildwood by-election official results,https://results.elections.on.ca/api/report-groups/48/report-outputs/1096/csv,Official result and continuous personal and geographic identity agree.
mcd_c9d74ba6b5cd5d069fe21e7952a7400a,toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,2024:toronto_city_clerk:councillor:ward-15,Habiba Desai,2024-11-04,"Toronto, Ontario",councillor,Ward 15 Don Valley West,confirm,reuse_existing,First-person candidate questionnaire and current campaign account identify the same candidate.,Toronto City Clerk,2024 Ward 15 by-election declaration,https://www.toronto.ca/wp-content/uploads/2024/11/9727-Declaration-of-Results-for-the-Councillor-Ward-15-ByElectionfor-posting.pdf,Official result and explicit personal and campaign continuity agree.
mcd_5192aad1f9065773a4b616fb2a02c367,toronto-mayor-2026,can_59eec357859b52a9a96e7dc149a071cd,2023:toronto_city_clerk:mayor:city,Heather He,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Candidate-controlled Care Bank page explicitly identifies its founder as a 2023 candidate and the current campaign profile identifies the 2026 filer.,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Official result and direct candidate-controlled continuity agree.
mcd_311e014b294e5b7ba442f3e37f29e11e,toronto-mayor-2026,can_6091cf8156f452e99906f835b4ab0eb5,2014:toronto_city_clerk:mayor:city,Jack Weenen,2014-10-27,"Toronto, Ontario",mayor,City of Toronto,hold,none,,Toronto City Clerk,2014 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,No qualifying bridge links the historical candidate to the 2026 filer.
mcd_7058b0e8ddcd5cc1b17fd7d509a85232,toronto-mayor-2026,can_6091cf8156f452e99906f835b4ab0eb5,2018:toronto_city_clerk:mayor:city,Jack Weenen,2018-10-22,"Toronto, Ontario",mayor,City of Toronto,hold,none,,Toronto City Clerk,2018 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,No qualifying bridge links the historical candidate to the 2026 filer.
mcd_96cefd81123f55518a761b0780617bc7,toronto-mayor-2026,can_6091cf8156f452e99906f835b4ab0eb5,2023:toronto_city_clerk:mayor:city,Jack Weenen,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,hold,none,,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,No qualifying bridge links the historical candidate to the 2026 filer.
mcd_b4cf6d9b0aff5c1fbef22a31a3d55c72,toronto-mayor-2026,can_1e9223164ae85589a40d5c27b1004c93,2023:toronto_city_clerk:mayor:city,Jamie Atkinson,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,hold,none,,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,No qualifying bridge links the historical candidate to the 2026 filer.
mcd_d6a43f249542520c8c935dafc86c325d,toronto-mayor-2026,can_c9515855307457fbb210926528eaf9b7,2023:toronto_city_clerk:mayor:city,Jeffery Tunney,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Distinctive smallguycleaner email and campaign domain recur across the 2023 and 2026 campaign records.,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Official result and distinctive reused campaign contact agree.
mcd_5630fc579d7450149543c8f6a7e42fa4,toronto-mayor-2026,can_d1c1dbd9dfa95c2280361e1b54640094,2018:toronto_city_clerk:mayor:city,Joseph Osuji,2018-10-22,"Toronto, Ontario",mayor,City of Toronto,hold,none,,Toronto City Clerk,2018 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,No qualifying bridge links the historical candidate to the 2026 filer.
mcd_c19b481c1a225d02950b548bc556c87f,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2003:toronto_city_clerk:mayor:city,Kevin Clarke,2003-11-10,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Toronto City Clerk,2003 municipal election official results,https://www.toronto.ca/city-government/elections/results/,Official result and continuous multi-source career identity agree.
mcd_49830df3ea315cf5a506d35d65fd2345,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2006:toronto_city_clerk:mayor:city,CLARKE KEVIN,2006-11-13,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Toronto City Clerk,2006 municipal election official results,https://www.toronto.ca/city-government/elections/results/,Official result and continuous multi-source career identity agree.
mcd_619c5394dec859af8d6aaefc0925d67e,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2010:toronto_city_clerk:mayor:city,CLARKE KEVIN,2010-10-25,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Toronto City Clerk,2010 municipal election official results,https://www.toronto.ca/city-government/elections/results/,Official result and continuous multi-source career identity agree.
mcd_e3a92a6e866156ce8415fba08788ad8a,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2013:elections_canada:mp:35093,Kevin Clarke,2013-11-25,"Canada, Ontario",mp,Toronto Centre,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Elections Canada,2013 Toronto Centre by-election official results,https://www.elections.ca/Scripts/VIS/HistoricalResults/35093_e.html,Official result and continuous multi-source career identity agree.
mcd_31c63dd5405e556dafc17e934b2516e8,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2013:elections_ontario:mpp:etobicoke-lakeshore,KEVIN CLARKE,2013-08-01,"Ontario, Canada",mpp,Etobicoke-Lakeshore,confirm,reuse_existing,Peoples Political Party affiliation and continuous Toronto campaign identity bridge the occurrence.,Elections Ontario,2013-2014 annual report official by-election results,https://www.elections.on.ca/content/dam/NGW/sitecontent/2014/reports/2013-2014%20Annual%20Report.pdf,Official result and continuous party/career identity agree.
mcd_2e620ad8530a51beb9c81b5637a31e8c,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2014:elections_canada:mp:35080,Kevin Clarke,2014-06-30,"Canada, Ontario",mp,Scarborough-Agincourt,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Elections Canada,2014 Scarborough-Agincourt by-election official results,https://www.elections.ca/Scripts/VIS/HistoricalResults/35080_e.html,Official result and continuous multi-source career identity agree.
mcd_fdc30325f32957088b056577db3e6107,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2014:elections_ontario:mpp:scarborough-agincourt,KEVIN CLARKE,2014-06-12,"Ontario, Canada",mpp,Scarborough-Agincourt,confirm,reuse_existing,Peoples Political Party affiliation and continuous Toronto campaign identity bridge the occurrence.,Elections Ontario,2014-2015 annual report official election results,https://www.elections.on.ca/content/dam/NGW/sitecontent/2014/reports/2014-2015%20Annual%20Report.pdf,Official result and continuous party/career identity agree.
mcd_70473ad56fdd505ba9da5a714e4ee3e7,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2014:toronto_city_clerk:mayor:city,CLARKE KEVIN,2014-10-27,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Toronto City Clerk,2014 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,Official result and continuous multi-source career identity agree.
mcd_e21e4089e92f544ca3d6fb7b9c9172a1,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2015:elections_canada:mp:35095,Kevin Clarke,2015-10-19,"Canada, Ontario",mp,Scarborough-Guildwood,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Elections Canada,42nd general election official results,https://www.elections.ca/res/rep/off/ovr2015app/41/data_donnees/pollresults_resultatsbureau35.zip,Official result and continuous multi-source career identity agree.
mcd_9c91514c828d58568553f02979d696e6,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2015:elections_ontario:mpp:simcoe-north,Kevin Clarke,2015-09-03,"Ontario, Canada",mpp,Simcoe North,confirm,add_backfill,Peoples Party affiliation and continuous candidate/party leadership identify the same Kevin Clarke.,Elections Ontario,2015-2016 annual report official by-election results,https://www.elections.on.ca/content/dam/NGW/sitecontent/2017/resources/2015-2016%20Annual%20Report.pdf,Official result and continuous party/career identity agree.
mcd_167f72eeddec5a3a99dc3f1fd44c16b5,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2016:toronto_city_clerk:councillor:ward-2,Clarke Kevin,2016-07-25,"Toronto, Ontario",councillor,Ward 2,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Toronto City Clerk,2016 Ward 2 by-election official results,https://www.toronto.ca/city-government/elections/results/,Official result and continuous multi-source career identity agree.
mcd_033ce284faeb53d6ae2f70eb841b9d9a,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2017:toronto_city_clerk:councillor:ward-42,"Clarke, Kevin",2017-02-13,"Toronto, Ontario",councillor,Ward 42,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Toronto City Clerk,2017 Ward 42 by-election official results,https://www.toronto.ca/city-government/elections/results/,Official result and continuous multi-source career identity agree.
mcd_d5066325328f59b78ca91a9d5aa38ca4,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2018:elections_ontario:mpp:109,Kevin Clarke,2018-06-07,"Ontario, Canada",mpp,Toronto Centre,confirm,reuse_existing,Peoples Political Party affiliation and continuous Toronto campaign identity bridge the occurrence.,Elections Ontario,2018 official election results,https://results.elections.on.ca/api/report-groups/1/report-outputs/932/csv,Official result and continuous party/career identity agree.
mcd_57672552b4405428b869c87ab52e22e0,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2018:toronto_city_clerk:mayor:city,Clarke Kevin,2018-10-22,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Toronto City Clerk,2018 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,Official result and continuous multi-source career identity agree.
mcd_503d49e139cd5e2db8cf70f8625ec193,toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,2019:elections_canada:mp:35095,Kevin Clarke,2019-10-21,"Canada, Ontario",mp,Scarborough-Guildwood,confirm,reuse_existing,Continuous Toronto candidacy and Peoples Political Party leadership bridge the recurring candidate to the 2026 filer.,Elections Canada,43rd general election official results,https://www.elections.ca/res/rep/off/ovr2019app/51/data_donnees/pollresults_resultatsbureau35.zip,Official result and continuous multi-source career identity agree.
