candidacy_id,target_person_id,decision,confidence,rationale,evidence_urls,reviewer
can_038c7443a17759ec89c75966d7c19fb2,per_b1bd45fca31b5fc89130749dbb6d82aa,unresolved,medium,"The target has a same-body/same-office result with the same name, but the district differs from this occurrence; results alone cannot establish identity across a changed district, so the proposal is held.",https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/elections-official-results,independent-adjudication-bucket-1
can_03bc037489055dde9a399958f449489e,per_022858fa191a541eaa442dd0e9cefd5d,confirmed,high,Official results show the same candidate in the same toronto_district_school_board trustee district (Ward 18) as the confirmed 2014 occurrence; party/affiliation continuity is consistent and no same-event/name collision was found.,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/d59b5a52-33c3-4380-a136-82707e4d9aae/download/2014-results.zip,independent-adjudication-bucket-1
can_03e7fa9b7ff25fdd87b6283a7336053c,per_35aa0facc1595a859fd2e13b969ad839,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
can_0437ac79299457f6a655c0679cae4a9b,per_222e4d620cd457ea89cc741bd6426eca,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_046a211bdf565d6a8ad4a5926a4e0aa9,per_0a7d82034a4554c2a6f261128a359a69,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/48/report-outputs/1096/csv;https://results.elections.on.ca/api/report-groups/48/report-outputs/1089/csv;https://results.elections.on.ca/api/report-groups/48/report-outputs/1094/csv,independent-adjudication-bucket-1
can_049575cca65559529a8f47741934ffb2,per_cfa2a65b47f9546d9c6ee5ac1ceec4b5,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-2
can_04c005861f385edfa0318a69b17c6bd2,per_147b8bcaa46a51aa91b2eef12f1fa014,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_053d7b155fa35518a1fba451888a6edb,per_ece5a4b1c23c56e3a844780cdf9ffc4b,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_056242814697543eb7efbb9df5b7dbf7,per_c4bda40818095aa8928034a09d781f3b,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://www.elections.ca/res/rep/off/ovrGE45/62/data_donnees/pollresults_resultatsbureau35.zip,independent-adjudication-bucket-1
can_05c92ecbd5075e69a5f5e70e7ed7ff8c,per_6a772a1058a85f8e889f5e20b50850b2,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/2/report-outputs/488/csv;https://results.elections.on.ca/api/report-groups/2/report-outputs/481/csv;https://results.elections.on.ca/api/report-groups/2/report-outputs/486/csv,independent-adjudication-bucket-1
can_05f2bf6b96335051bae55978653e078b,per_df061311972e51afa824f3ca403b7ce7,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/2fcd5f20-90f5-4dd0-88eb-22e978b9bf89/download/2018-results.zip,independent-adjudication-bucket-1
can_05fb59e1527c51f6a5b4cb1f8500242f,per_956a8be294385cdd947b0e836f4184be,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-2
can_060c8be206475ee8904f5af1368add5a,per_fee912e22b015db4b02689f4f26da2bd,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_064774a3fa9755b69ee37c1eeac543f3,per_19437117d92857d9ac07198a36e10a37,unresolved,medium,"The target has a same-body/same-office result with the same name, but the district differs from this occurrence; results alone cannot establish identity across a changed district, so the proposal is held.",https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/d59b5a52-33c3-4380-a136-82707e4d9aae/download/2014-results.zip,independent-adjudication-bucket-1
can_0686bf92e3f45019b7d36f3ebd3c6521,per_fee912e22b015db4b02689f4f26da2bd,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_06a11c9c57f75caa917e751ea03de958,per_0a7d82034a4554c2a6f261128a359a69,unresolved,medium,"The target has a same-body/same-office result with the same name, but the district differs from this occurrence; results alone cannot establish identity across a changed district, so the proposal is held.",https://www.elections.ca/scripts/OVR2011/34/data_donnees/pollresults_resultatsbureau35.zip,independent-adjudication-bucket-1
can_06b52ede8d7a5352a9b3cba08891e914,per_311c6cb209eb58a5b8a7a89d7a6d1497,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_06c7527165cd5a60ae2dfce717ea194a,per_8a84600de31d56439c7749dddcd6ad2e,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/45/report-outputs/1050/csv;https://results.elections.on.ca/api/report-groups/45/report-outputs/1043/csv;https://results.elections.on.ca/api/report-groups/45/report-outputs/1048/csv,independent-adjudication-bucket-1
can_07a5231ae59750b2a9ef2dd2b921b73d,per_dd5bab4d673552cf86e230bd8b138521,confirmed,high,"Official result continuity: same body/office, displayed district “Ward 1”, and party/affiliation “non_partisan” match a confirmed candidacy; no same-event/name collision found.",https://www.tcdsb.org/,independent-adjudication-bucket-2
can_07b400e3934858579d15ddde33228ece,per_c2646840648556528945f9763d4aae27,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_0825ef06a4b555b4bb30a2f7e9e4d184,per_7b66a05627cf557db879bb07990a8aa6,confirmed,high,"Candidate-controlled campaign history and matching first-person biographies explicitly bridge the federal, provincial, and municipal candidacies to the existing Person; no contradictory occurrence or same-event collision was found.",https://www.toronto4life.ca/2014--2018-toronto-city-councillor-municipal-election.html;https://beachmetro.com/2023/11/15/scarborough-southwest-byelection-2023-candidate-anthony-internicola-answers-our-questions/;https://en.votemate.org/canada2019/candidates/2255,council-batch-2-evidence-review
can_0841f52427a05cb3b1aad02eefc6e9f6,per_bcfbb71d06325ab69c98fd92e7da065f,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tdsb.on.ca/,independent-adjudication-bucket-0
can_0855099408a55b858cfe37e4464a929f,per_1edd1e3c4ca2572ea491719d939021c5,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
can_08652379898f550b8fe8ac2c10afade0,per_be35261e04625433bb723ad991789bd1,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-2
can_08c57ea696c451f88c7ce1d681168e91,per_8feeabb119355e87b3a8f8f42e8ec3b9,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-2
can_08f71a39dd4358a399bcbffe091d154c,per_9c36e7ff690d57379982c10a27d3be02,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_0911e45f54c45759a1f4afe72bc7e85b,per_7003c6c13d0e5483a2bfe9a210876145,confirmed,high,"Official result continuity: same body/office, displayed district “Ward 1”, and party/affiliation “non_partisan” match a confirmed candidacy; no same-event/name collision found.",https://www.tdsb.on.ca/,independent-adjudication-bucket-2
can_093c91b5c480550ebe5e088954692715,per_837198af1a5d5c99b41f8a0279577da0,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
can_09769e5687995034aee617a56b2260f1,per_4c8a5911f9885151a78e4dc9a5feb8fd,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/4/report-outputs/510/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/503/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/508/csv,independent-adjudication-bucket-1
can_098aaf58122b56ce87e8044db4aea098,per_7667ac68d0685abf8bace21429261af4,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_09bab15b9a3952a3bf16b610da5402cd,per_17a3a012347b5d07a5aba45414729366,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-2
can_09e2fdf5e91451a2b6946229fc785420,per_51d759025cdb5b699415b91f4a43f0d5,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tdsb.on.ca/,independent-adjudication-bucket-0
can_09eece20c90953eba1f3e307aa759c5c,per_d01f90666b6f5ca8b9b5505e19248b8e,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-2
can_0a0ec6a21084500391880212c4afecef,per_9e28e6a2b24d557d800532456b906271,unresolved,medium,"The target has a same-body/same-office result with the same name, but the district differs from this occurrence; results alone cannot establish identity across a changed district, so the proposal is held.",https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip,independent-adjudication-bucket-1
can_0a1ea2558dea5042822f4e2236dda46b,per_37f7dad14c375a50af81a0802a124a64,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-2
can_0a39edf5aae0590da15f809494094c13,per_2ca802ab0bb55224bfa4298f0b12970c,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_0a41589e224455b68af9a351579e94b6,per_d647c6e710c45134a9f9f19b43378347,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_0a6020974b365c40bd6a175802bfa38b,per_e9c195ba937751869154a92d57592773,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_0a93b17d655f518f9bd9503e478f44f1,per_ae90d48a1de055d484b5518370c2b1ae,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-2
can_0ab8f6a4ce795dd9818519bca08626d8,per_f285f0621dbe566cadb4c7cee0d4a752,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tdsb.on.ca/,independent-adjudication-bucket-0
can_0b04ece4b99d5b8e9a788c077a2bc0fa,per_af9b42612918591ca5bd5d03c1927be5,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
can_0b40f570d25c589a985a4d00a90a7e07,per_4de6ed98e00f5891b666a99ff4fd9c15,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/elections-official-results,independent-adjudication-bucket-1
can_0b752cb1341b5007a786de6f2766bfd2,per_78fd07f017e055fdb6645ef054d4f86a,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tcdsb.org/,independent-adjudication-bucket-2
can_0bbe7a78b54b5f61a34065bbf25192a5,per_6a1afa9bb527562a9570f4baf11efc6e,confirmed,high,Official results show the same candidate in the same ontario_legislative_assembly mpp district (St. Paul's) as the confirmed 2003 occurrence; party/affiliation continuity is consistent and no same-event/name collision was found.,https://results.elections.on.ca/api/report-groups/4/report-outputs/510/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/503/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/508/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,independent-adjudication-bucket-1
can_0c29223206985ba7b4e34e905d776199,per_1f99fbadd9165d50bd173574d7657f4e,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-2
can_0c44fdd640f055caa09f763ce91b36c9,per_563490cf54425af0a1b5b828727dd501,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-2
can_0c5809f5918a5cbf8c82490948d74118,per_79a08135fe27563791ae43729dded417,unresolved,medium,"The target has a same-body/same-office result with the same name, but the district differs from this occurrence; results alone cannot establish identity across a changed district, so the proposal is held.",https://results.elections.on.ca/api/report-groups/4/report-outputs/510/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/503/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/508/csv,independent-adjudication-bucket-1
can_0c7f01f2f5175ff8af6dee6ecfcae719,per_7387324d5432540fbe0d3d2772e6eb48,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://www.elections.ca/scripts/OVR2008/31/data/pollresults_resultatsbureau35.zip,independent-adjudication-bucket-1
can_0c98702a96eb5c87bf47fb6ab98873f4,per_cf67e953cc5d5813be347c92214ea37d,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tdsb.on.ca/,independent-adjudication-bucket-2
can_0cd830441bb059bab3011ae788b8401e,per_7437d8503d715996aeb65671032da866,unresolved,low,"The target has confirmed activity in the same represented body, but not a matching office/district occurrence; exact name is insufficient across offices, so the proposal is held.",https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/elections-official-results,independent-adjudication-bucket-1
can_0cf00735eb5b57b58f07808eb9ac8179,per_e7c84473fc1759b49f35d74fbf26a6bd,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
can_0d3a7e78c07d5748ac0f0d9902bd153a,per_5853689b88db555ca8a9431a01bdd81a,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_0d3d22121f125aaf8b8c50d8249cd8ad,per_02e1241d551453eca03dcc3e2de3c480,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-2
can_0ecbab8bfc59568da28f01bf8f3da9c0,per_ff11c06004f758998ecbea5c6c9ed0a0,confirmed,high,"Official result continuity: same body/office, displayed district “Ward 7”, and party/affiliation “non_partisan” match a confirmed candidacy; no same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-2
can_0f102ca366415f77acb58b66ac0c55c7,per_46779385ba305d05b1ac1b31a7e7f8a4,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/48/report-outputs/1096/csv;https://results.elections.on.ca/api/report-groups/48/report-outputs/1089/csv;https://results.elections.on.ca/api/report-groups/48/report-outputs/1094/csv,independent-adjudication-bucket-1
can_0f1e24fb6b2f5c238efffbfe2f59faf4,per_ff11c06004f758998ecbea5c6c9ed0a0,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-2
can_0f4202e7c3995ecd8cbe30fa1a676ad4,per_2ca802ab0bb55224bfa4298f0b12970c,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
can_0fa3d2d74b485f3eaf1658b1f320c393,per_f3c2f90a4fd0506991cc77e026e1126a,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tcdsb.org/,independent-adjudication-bucket-0
can_10272de08c315e7e8b1b7e38791b8de5,per_166cacef70bd5bd4b69f66b2e3318e4a,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tdsb.on.ca/,independent-adjudication-bucket-0
can_10a662ca127651caaf6b1b7df3bd6da9,per_e7567d45d54950beaf2ae91527a82ebf,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-2
can_10b7ae4c81cc5e1982c5e91eea050fa0,per_982a63e06b42518892b172d5fad100f4,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-2
can_1101a1fd643552a6a3e0e761dd4bb074,per_17b1ba87b5485b119fe64b2c6684317a,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/45/report-outputs/1050/csv;https://results.elections.on.ca/api/report-groups/45/report-outputs/1043/csv;https://results.elections.on.ca/api/report-groups/45/report-outputs/1048/csv,independent-adjudication-bucket-1
can_113a362e91ed50a99079f0b1a487736c,per_4ccbf46e79ae5ec68405ab3b932771b1,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.tcdsb.org/,independent-adjudication-bucket-2
can_1217bfcb3e4b57738e44c31c71f128e1,per_854ac5ba2c075e978b72a56edbb90cef,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/2/report-outputs/488/csv;https://results.elections.on.ca/api/report-groups/2/report-outputs/481/csv;https://results.elections.on.ca/api/report-groups/2/report-outputs/486/csv,independent-adjudication-bucket-1
can_125703e5b5ee5b9e9c5300e26ffb8a56,per_9ec0303dc6b659d1b698694e9184a0a8,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-2
can_127d1719b4ab58e0a5c111c6c16a1232,per_57886ab346255d2fb7f769a5ae8f03f0,confirmed,high,Official results show the same candidate in the same toronto_catholic_district_school_board trustee district (Ward 2) as the confirmed 2003 occurrence; party/affiliation continuity is consistent and no same-event/name collision was found.,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,independent-adjudication-bucket-1
can_12b78e8751935dc9b823f2fa7bacf716,per_57ce819a197e5fec897dd6758ac099cf,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-0
can_12d609f64ded53ed97a00290b25d0dec,per_906af205b4ec5f849f79a14ca99c7300,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://results.elections.on.ca/en/publications,independent-adjudication-bucket-2
