decision_id,cohort_id,subject_candidacy_id,prior_candidacy_id,observed_ballot_name,election_date,represented_body,office_type,district_name,decision,identity_bridge,evidence_urls,rationale
trd_13bac86fdece591a81d98f38eaf9c33a,toronto-trustee-2026,can_b224bbdcb6f75bf9ab2e818f00be2435,can_3b055889396b5c4197691d7355fa6e85,John Vassal,2018-10-22,toronto_district_school_board,trustee,Ward 8,hold,Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: No qualifying bridge was found; the exact name and coherent historical sequence are insufficient."
trd_1fe1a0345ef75ef7b849dd63fb681a90,toronto-trustee-2026,can_b224bbdcb6f75bf9ab2e818f00be2435,can_ecb9c751999855838847c6ea154a5f85,John Vassal,2022-10-24,toronto_district_school_board,trustee,Ward 8,hold,Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: No qualifying bridge was found; the unofficial directory's automatic history is not sufficient."
trd_4c6abd46ddbb575fafc9aac0ff21b375,toronto-trustee-2026,can_7a668b3b98d35daa915ae28fc4204ae2,can_974620e118d459a9a5f60371cbfaf286,Malik Ahmad,2010-10-25,toronto_city_council,councillor,Ward 35,hold,"The Local joins the historical council chain, not that chain to the 2026 trustee filing.",https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://thelocal.to/scarborough-southwest-by-election-candidates-2023-city-council/;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf;https://www.toronto.ca/wp-content/uploads/2023/12/94c0-Declaration-of-Results-for-the-Councillor-Ward-20-ByElection-Final.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: Sol found no qualifying current-to-prior bridge; the only explicit 2026 history match is in an unofficial directory and contemporaneous office listings were inconsistent."
trd_2d629e762fef5ff39ae359400180c023,toronto-trustee-2026,can_7a668b3b98d35daa915ae28fc4204ae2,can_d8fd23b509175a1080507d3ad0c821ef,Malik Ahmad,2022-10-24,toronto_city_council,councillor,Ward 20 — Scarborough Southwest,hold,"The Local joins the historical council chain, not that chain to the 2026 trustee filing.",https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://thelocal.to/scarborough-southwest-by-election-candidates-2023-city-council/;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf;https://www.toronto.ca/wp-content/uploads/2023/12/94c0-Declaration-of-Results-for-the-Councillor-Ward-20-ByElection-Final.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The 2022 council occurrence is securely linked to 2010 and 2023, but no qualifying source connects it to the certified 2026 trustee candidate."
trd_650ccf81bd695b1cbea24d4de098c117,toronto-trustee-2026,can_7a668b3b98d35daa915ae28fc4204ae2,can_99bdda3c83d358cdba248a2411c0b039,Malik Ahmad,2023-11-30,toronto_city_council,councillor,Ward 20 — Scarborough Southwest,hold,"The Local joins the historical council chain, not that chain to the 2026 trustee filing.",https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://thelocal.to/scarborough-southwest-by-election-candidates-2023-city-council/;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf;https://www.toronto.ca/wp-content/uploads/2023/12/94c0-Declaration-of-Results-for-the-Councillor-Ward-20-ByElection-Final.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The 2023 candidate profile is a strong historical bridge, but Sol found no qualifying source that identifies the certified 2026 trustee filer as that council candidate."
trd_f0d924941876590f9d199d8e9b8de797,toronto-trustee-2026,can_3fd9bf5aab3652fc8710e2fb9b72e168,can_1a65694abfec5b478fdae17ed0b21d88,Azim Dewan,2014-10-27,toronto_district_school_board,trustee,Ward 18,hold,No qualifying current-to-prior bridge was found.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://elections.ontarioschooltrustees.org/ResourceToolKit/2014ElectionResults/Query.aspx?board=Toronto+District+School+Board&lang=en;https://www.birchcliffnews.com/trustee-moyer-on-defensive/;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The 2014 result and parent-council biography remain verified, but the new pass found no qualifying bridge to the 2026 candidate."
trd_3d455dc3ed205a5db74846b4f66c39a7,toronto-trustee-2026,can_990783c8b1b75211892caa7a4326511e,can_1af27012921e50af8bcd4a4f78e81d25,Jocelyne Poirier,2025-04-28,canada_house_of_commons,mp,Beaches—East York,hold,No source links the federal candidate biography to the current trustee filing.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.elections.ca/Scripts/vis/Candidates?ED=35007&EV=99&EV_TYPE=6&L=e&PAGEID=17&PROV=QC&QID=-1;https://www.elections.ca/Scripts/vis/PastResults?ED=35007&EV=65&EV_TYPE=6&L=e&PAGEID=28&PROV=ON&QID=-1;https://beachmetro.com/2025/04/15/federal-election-beaches-east-york-conservative-candidate-jocelyne-poirier-answers-our-questions/,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: A current news candidate list added no biography or prior-run statement, so no qualifying bridge beyond same name and east-Toronto geography was found."
trd_063b330f9ca1518e923a8507c2d34575,toronto-trustee-2026,can_5f7f158aef535d02960dc4c058b3359a,can_50547111b9bd5e489393eda15a7a6cac,MARISA STERLING,2011-10-06,ontario_legislative_assembly,mpp,Toronto—Danforth,hold,"Professional sources identify the former 2011 candidate, not the 2026 trustee filer.",https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.peo.on.ca/about-peo/council/2019-2020-council/marisa-sterling-peng-fec;https://results.elections.on.ca/api/report-groups/3/report-outputs/499/csv,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: Sol found current engineering records and a current candidate list but no qualifying source connecting those identities; exact name alone is insufficient."
trd_af497095037657b2bd7a647d6a9281d7,toronto-trustee-2026,can_0bec302f9a5656f68d9317faf79bd81c,can_db651bb0672758849cf4f97fb3576823,Frank D'Amico,2003-11-10,toronto_district_school_board,trustee,Ward 5,reject,Terra did not find a sufficient identity bridge to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://www.tcdsb.org/page/board-of-trustees;https://thelocal.to/toronto-mayor-candidates-2023/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks."
trd_a9674af0b0d55556a8e174aba9a4d40d,toronto-trustee-2026,can_0bec302f9a5656f68d9317faf79bd81c,can_643ef4ba05a85a99b80f35f11b217164,Frank D'Amico,2010-10-25,toronto_catholic_district_school_board,trustee,Ward 6,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://www.tcdsb.org/page/board-of-trustees;https://thelocal.to/toronto-mayor-candidates-2023/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_ae23aaf074f05e5b93c3779bec35105c,toronto-trustee-2026,can_0bec302f9a5656f68d9317faf79bd81c,can_d035d9ceab5c5838a266f98209ff2c3b,Frank D'Amico,2014-10-27,toronto_catholic_district_school_board,trustee,Ward 6,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://www.tcdsb.org/page/board-of-trustees;https://thelocal.to/toronto-mayor-candidates-2023/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_df7b2409d3d0551aa82458a998a9079f,toronto-trustee-2026,can_0bec302f9a5656f68d9317faf79bd81c,can_686a839bd2c459f3bd5974baaa8ed8de,Frank D'Amico,2018-10-22,toronto_catholic_district_school_board,trustee,Ward 6,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://www.tcdsb.org/page/board-of-trustees;https://thelocal.to/toronto-mayor-candidates-2023/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_da5e6eee4e03527e97c433c5dfdf9a09,toronto-trustee-2026,can_0bec302f9a5656f68d9317faf79bd81c,can_a36063df8c4a52deb9d37ad8546619a2,Frank D'Amico,2022-10-24,toronto_catholic_district_school_board,trustee,Ward 6,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://www.tcdsb.org/page/board-of-trustees;https://thelocal.to/toronto-mayor-candidates-2023/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_4e140108698054d58bb3cb9442941de5,toronto-trustee-2026,can_0bec302f9a5656f68d9317faf79bd81c,can_6e420426261f5f3d9a66e8fdcc5b59e3,Frank D'Amico,2023-06-26,toronto_city_council,mayor,City of Toronto,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://www.tcdsb.org/page/board-of-trustees;https://thelocal.to/toronto-mayor-candidates-2023/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_ffe013674f8153b79ec1916cef21950b,toronto-trustee-2026,can_be841f8d506757cfb0c1b93dd102e85f,can_00add64fe81e53c5b8e79b1f96215e22,Geneviève Oger,2018-10-22,conseil_scolaire_viamonde,trustee,Ward 4,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://viamonde-website.preprod.unimatrix.lbo.qa/viamonde/gouvernance/membres;https://csv.genevieveoger.com/2025/12/29/lettre-de-fin-dannee-2025-de-votre-conseillere-scolaire-ouest-de-toronto/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/2fcd5f20-90f5-4dd0-88eb-22e978b9bf89/download/2018-results.zip;https://www.toronto.ca/wp-content/uploads/2022/08/8e0d-Declaration-of-Acclamation.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_3d51adab48e05588992426904a7e25bf,toronto-trustee-2026,can_be841f8d506757cfb0c1b93dd102e85f,can_b0d1c647178256309bb98544e892f006,Oger Geneviève,2022-10-24,conseil_scolaire_viamonde,trustee,Ward 4,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/wp-content/uploads/2026/08/8ed9-2026-Declaration-of-Acclamation.pdf;https://viamonde-website.preprod.unimatrix.lbo.qa/viamonde/gouvernance/membres;https://csv.genevieveoger.com/2025/12/29/lettre-de-fin-dannee-2025-de-votre-conseillere-scolaire-ouest-de-toronto/;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/2fcd5f20-90f5-4dd0-88eb-22e978b9bf89/download/2018-results.zip;https://www.toronto.ca/wp-content/uploads/2022/08/8e0d-Declaration-of-Acclamation.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_121ca77cbe6250e8b1c32d30e65e24d2,toronto-trustee-2026,can_b9b5b55f5f265132afd62fd721c56705,can_60e9cc9420bc5c65b98f82e8b0cae750,Markus De Domenico,2018-10-22,toronto_catholic_district_school_board,trustee,Ward 2,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.tcdsb.org/article/1883692;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_1d9cdfd7ae2650c8ac1d2d3a427b62b6,toronto-trustee-2026,can_b9b5b55f5f265132afd62fd721c56705,can_1a5a34b15e6d553ca9c9c800d009aa0e,Markus De Domenico,2022-10-24,toronto_catholic_district_school_board,trustee,Ward 2,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.tcdsb.org/article/1883692;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
