curation_key,endorser_key,expected_contest_id,expected_candidacy_id,election_date,office_type,official_district_id,expected_candidate_name,asserted_candidate_name,review_state,endorsement_kind,announcement_date,date_precision,source_type,source_url,secondary_source_url
star_2010_w06_grimes,toronto_star_editorial_board,con_e14c9528646b58ba89bddde54ae0f23e,can_da959df9c1b85625a1c9dff24bc2446f,2010-10-25,councillor,ward-6,Mark Grimes,Mark Grimes,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w07_perlman,toronto_star_editorial_board,con_7bbdc7e302705fee987b1ebca87ef16d,can_5ec80b2bd0ae52ef817f16eb7be56d5b,2010-10-25,councillor,ward-7,Larry Perlman,Larry Perlman,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w08_perruzza,toronto_star_editorial_board,con_0a880ce7b6ad5bdaa2e2dc7b19601aa8,can_b1cd41623edb56878391b977e6ba439d,2010-10-25,councillor,ward-8,Anthony Perruzza,Anthony Perruzza,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w09_augimeri,toronto_star_editorial_board,con_ed22821703705704bff31b43ed036014,can_3fbcbdc53f3f5f02974c3789f5c6cb31,2010-10-25,councillor,ward-9,Maria Augimeri,Maria Augimeri,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w10_shifman,toronto_star_editorial_board,con_e8d5ffca829d5a06ad87216dc76d6e6a,can_00cc575e9d0c54458236d6e438b3a20a,2010-10-25,councillor,ward-10,Brian Shifman,Brian Shifman,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w11_sansone,toronto_star_editorial_board,con_43b57e74c0a454db9f5ed346b6fc7095,can_2b869e48f3e3564d84ed686769f4eb2e,2010-10-25,councillor,ward-11,Fulvio Sansone,Fulvio Sansone,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w12_gosling,toronto_star_editorial_board,con_cceb1911b8545151a85313ea9045fdd6,can_bf8e3f276b1352d39472d249a2fabd9f,2010-10-25,councillor,ward-12,Richard Gosling,Richard Gosling,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w13_doucette,toronto_star_editorial_board,con_5c4da484552c546aaff98277d675d594,can_b0071b72639b5d12bf5753a507e8d11d,2010-10-25,councillor,ward-13,Sarah Doucette,Sarah Doucette,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w14_perks,toronto_star_editorial_board,con_20589f7261325cd892231ed42321b3cf,can_531164ded0fe544494b2d2f5a84d639e,2010-10-25,councillor,ward-14,Gord Perks,Gord Perks,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w15_colle,toronto_star_editorial_board,con_579cae8a3fa455a7a3e68d1b1900fffa,can_e4d5de017a4c5861a2f577ede413c236,2010-10-25,councillor,ward-15,Josh Colle,Josh Colle,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w16_stintz,toronto_star_editorial_board,con_680464772a025da6aa5eaf650cefb52a,can_1bdb16ff80e85c0ca7531e87d51d0c30,2010-10-25,councillor,ward-16,Karen Stintz,Karen Stintz,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w17_schein,toronto_star_editorial_board,con_bdb4bceb8d3d535e9d9284d19bf99bb0,can_90847115d65158f29c71dfe3d717587d,2010-10-25,councillor,ward-17,Jonah Schein,Jonah Schein,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w18_bailao,toronto_star_editorial_board,con_d6f7b1cb92f959ab9408dbb936bcf2ff,can_8b6bf34be2875df09f7015637c112ccd,2010-10-25,councillor,ward-18,Ana Bailão,Ana Bailão,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w19_sun,toronto_star_editorial_board,con_1cf871058a8c5bc9a34c7dbdf6edca83,can_6e7ec519d4b15e4c85ff9f3f28e028f9,2010-10-25,councillor,ward-19,Karen Sun,Karen Sun,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w20_vaughan,toronto_star_editorial_board,con_8c969ca3bbbb537382be9d4ed8dd7697,can_50edbd001f525fbdaef79280b8ae15ba,2010-10-25,councillor,ward-20,Adam Vaughan,Adam Vaughan,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w21_mihevc,toronto_star_editorial_board,con_3fd9226a06995ec78201f807f175b930,can_32606177dc245101934f064b80715a9a,2010-10-25,councillor,ward-21,Joe Mihevc,Joe Mihevc,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w22_matlow,toronto_star_editorial_board,con_11ea4a9756fd5bc4a466dc797994b068,can_c7d68ddda26d5d3388726dcf769561a1,2010-10-25,councillor,ward-22,Josh Matlow,Josh Matlow,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w23_filion,toronto_star_editorial_board,con_e689393a84cc500bab2476e3913f093d,can_4705ac53fc05540e86ec19585ff7d33c,2010-10-25,councillor,ward-23,John Filion,John Filion,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w24_cho,toronto_star_editorial_board,con_a62a387b9ca8511db50248d4738f3eea,can_e34594d731415f04ac40d229c5b80a90,2010-10-25,councillor,ward-24,Sonny Cho,Sonny Cho,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w25_robinson,toronto_star_editorial_board,con_da88824c2975511d9432812d4988c9d5,can_181e63f5d37a527eaa8e5f5fe8ff795f,2010-10-25,councillor,ward-25,Jaye Robinson,Jaye Robinson,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w26_dhanani,toronto_star_editorial_board,con_4977aa6e0a865d788ed7ebf871e4027c,can_bfd9ba4cc93d5f609d4522308bd0888b,2010-10-25,councillor,ward-26,Mohamed Dhanani,Mohamed Dhanani,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w27_chan,toronto_star_editorial_board,con_2ce79e4f63945b9b90a05c245e9382fc,can_9bc0a1a0c5b75c6cbddcdc0c904333fc,2010-10-25,councillor,ward-27,Ken Chan,Ken Chan,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w28_mcconnell,toronto_star_editorial_board,con_272ca0eaeab656b89a5038bc74ad9988,can_ad20c1e63a13506e989aa3c8fac52131,2010-10-25,councillor,ward-28,Pam Mcconnell,Pam McConnell,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w29_wood,toronto_star_editorial_board,con_1a46b115b13d55619bcaf30903c183e3,can_131edf3f125553cfa6c71abe8e2d112a,2010-10-25,councillor,ward-29,Jennifer Wood,Jennifer Wood,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w30_fletcher,toronto_star_editorial_board,con_5587a8b9ae37546eb39a67333b5011ed,can_f7946b75ec045bfab704dee9cb1dd70d,2010-10-25,councillor,ward-30,Paula Fletcher,Paula Fletcher,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w31_davis,toronto_star_editorial_board,con_e358c35644bd5b94b662f1e211fbc70e,can_dddb35cb411b5da38baa6a18a49a5827,2010-10-25,councillor,ward-31,Janet Davis,Janet Davis,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w32_mcmahon,toronto_star_editorial_board,con_17593cee737354878c920526a9fa7afd,can_c9296961f4af5a46874ce7428a5ef234,2010-10-25,councillor,ward-32,Mary-Margaret Mcmahon,Mary-Margaret McMahon,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w33_carroll,toronto_star_editorial_board,con_fc66f2cac25c5ea58dccc4005672bad8,can_c490de310f0e5ec3807cce9b7efebbcd,2010-10-25,councillor,ward-33,Shelley Carroll,Shelley Carroll,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w34_minnan_wong,toronto_star_editorial_board,con_662d709bee42574392549fc786efea0d,can_d437f9f474165333825eaf0769a775ef,2010-10-25,councillor,ward-34,Denzil Minnan-Wong,Denzil Minnan-Wong,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w35_berardinetti,toronto_star_editorial_board,con_bf589c2ec43c513aa964b64309534ac6,can_c8038df0a27d5dcb8d73872ea8e7fac6,2010-10-25,councillor,ward-35,Michelle Berardinetti,Michelle Berardinetti,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w36_spencer,toronto_star_editorial_board,con_ebcb4d472e005fbbadabf9f6201cbe13,can_4904cf2217345185a3d72c6fb1b7dbcd,2010-10-25,councillor,ward-36,Robert Spencer,Robert Spencer,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w37_thompson,toronto_star_editorial_board,con_b6bdff47e14a590897fb7531e91999d1,can_fa2386984a6859aea04bcfbaef485422,2010-10-25,councillor,ward-37,Michael Thompson,Michael Thompson,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w38_de_baeremaeker,toronto_star_editorial_board,con_edd7a5395e9a586bb5289cb5ed1106b3,can_1976e1403ea950dda39dc2cde607cfad,2010-10-25,councillor,ward-38,Glenn De Baeremaeker,Glenn De Baeremaeker,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w40_heal,toronto_star_editorial_board,con_e78d7e5eb6975c7b98ef0efd13e5c783,can_7e438bfe1694579ca49127ff39200d21,2010-10-25,councillor,ward-40,Bryan Heal,Bryan Heal,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w41_lee,toronto_star_editorial_board,con_c713b29e028a582893ad021c4a2b8546,can_edd326acec2f5de290d92e603306cde4,2010-10-25,councillor,ward-41,Chin Lee,Chin Lee,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w42_shan,toronto_star_editorial_board,con_33da03ca4a1159089c55d78f4edd2bf3,can_17118493cdb85060a2d2685c20dcc532,2010-10-25,councillor,ward-42,Neethan Shan,Neethan Shan,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w43_ainslie,toronto_star_editorial_board,con_a160a05c9e3e5dd7b972cd5c16d456b0,can_c7c7cd99176353b4867b961bffb52dbd,2010-10-25,councillor,ward-43,Paul Ainslie,Paul Ainslie,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w44_hall,toronto_star_editorial_board,con_6240f694b6ce5307a2126a9103153475,can_e2975b624cc053808bf8af2a0d68d1e3,2010-10-25,councillor,ward-44,Diana Hall,Diana Hall,confirmed,editorial_choice,2010-10-19,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2018_mayor_tory,toronto_star_editorial_board,con_b93d69f083ed511ab264f38cc1d8b94c,can_fa7dd6aa57a55b69828e69186f5a67cf,2018-10-22,mayor,city,John Tory,John Tory,confirmed,editorial_choice,2018-10-18,day,first_party_editorial,https://www.thestar.com/opinion/editorials/2018/10/18/john-tory-is-the-best-choice-for-toronto-now.html,
star_2022_mayor_tory,toronto_star_editorial_board,con_778d3d5e612151bcb14703a9f987556d,can_0101698bc62b5b279cd15537a2e12179,2022-10-24,mayor,city,John Tory,John Tory,confirmed,editorial_choice,2022-10-22,day,first_party_editorial,https://www.thestar.com/opinion/editorials/2022/10/22/john-tory-best-to-lead-toronto.html,
star_2023_mayor_bailao,toronto_star_editorial_board,con_e0aab60f6a3e50d59f1f09a1742a2ddd,can_f9c65b5f49305573ac4de1d27b1e8fca,2023-06-26,mayor,city,Ana Bailão,Ana Bailão,confirmed,editorial_choice,2023-06-21,day,first_party_editorial,https://www.thestar.com/opinion/editorials/2023/06/21/ana-bailo-is-the-best-choice-to-lead-toronto.html,https://canada.constructconnect.com/dcn/news/government/2023/06/chow-the-one-to-beat-as-toronto-votes-for-the-citys-next-mayor
sun_2010_mayor_ford,toronto_sun_editorial_board,con_099fbf24dd655a0e8b1720fbe2215a6a,can_6c8763577a0f5896a1f2c406b63dac92,2010-10-25,mayor,city,Rob Ford,Rob Ford,confirmed,editorial_choice,2010-10-18,day,reputable_contemporaneous_attribution,https://torontolife.com/city/torontos-weekend-of-entirely-unsurprising-mayoral-endorsements/,
sun_2014_mayor_tory,toronto_sun_editorial_board,con_9250eb2b2609550597520e68352ac56a,can_b3ecaef663ba56adbab70efbcb5004da,2014-10-27,mayor,city,John Tory,John Tory,confirmed,editorial_choice,2014-10-19,day,reputable_contemporaneous_attribution,https://toronto.citynews.ca/2014/10/19/john-tory-endorsed-by-toronto-sun-globe-and-mail/,
sun_2018_mayor_tory,toronto_sun_editorial_board,con_b93d69f083ed511ab264f38cc1d8b94c,can_fa7dd6aa57a55b69828e69186f5a67cf,2018-10-22,mayor,city,John Tory,John Tory,confirmed,editorial_choice,,year,first_party_editorial,https://torontosun.com/opinion/editorials/editorial-john-tory-is-our-choice-for-mayor,
sun_2018_w01_ford,toronto_sun_editorial_board,con_922d425132ad5243b459c0ca40a6dcd9,can_b52f6554caab5bc08b7deca203ffd5d5,2018-10-22,councillor,ward-1,Michael Ford,Michael Ford,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w02_holyday,toronto_sun_editorial_board,con_3fc9df4b254c5eb6a2a7fb629a124bfb,can_02d0984005935af0b592f3ad185eff48,2018-10-22,councillor,ward-2,Stephen Holyday,Stephen Holyday,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w03_grimes,toronto_sun_editorial_board,con_612115bf42b450d3aeb63bb430d3aec9,can_881b56db387e50b19b0aa61d56b09724,2018-10-22,councillor,ward-3,Mark Grimes,Mark Grimes,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w04_tummillo,toronto_sun_editorial_board,con_f961284da53f5a38ba3a20e7e998ef4f,can_b6b790f30421564ca2e9c8263737a42e,2018-10-22,councillor,ward-4,Evan Tummillo,Evan Tummillo,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w05_nunziata,toronto_sun_editorial_board,con_ac347f98e5715159b3adecf8debcbde8,can_8c722fdcbad151f7a215974077dcdcbb,2018-10-22,councillor,ward-5,Frances Nunziata,Frances Nunziata,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w06_pasternak,toronto_sun_editorial_board,con_849867f583195ad38c77941612883bd9,can_56769676131c5f708884abdfea79deef,2018-10-22,councillor,ward-6,James Pasternak,James Pasternak,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w08_greb,toronto_sun_editorial_board,con_caa23fae586656b2bab11ee711073a2c,can_6f92d616fbc254aa87d1296422abbdae,2018-10-22,councillor,ward-8,Greb Christin Carmichael,Christin Carmichael Greb,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w17_liu,toronto_sun_editorial_board,con_7a4043e26d4256e78ee3861fb81e718a,can_a6628f45e8ae5f50a48d6645d8d8646f,2018-10-22,councillor,ward-17,Christina Liu,Christina Liu,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w18_moini,toronto_sun_editorial_board,con_4def6d4e85f85950babb9030e4eae0cb,can_fafe793aa442549aa62e15c5f44bc07f,2018-10-22,councillor,ward-18,Sam Moini,Sam Moini,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w21_thompson,toronto_sun_editorial_board,con_16fad19349255393a28639cd62e83ae3,can_44edb32c95a155788c97ba51aab252a9,2018-10-22,councillor,ward-21,Michael Thompson,Michael Thompson,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w23_lai,toronto_sun_editorial_board,con_c85783d7c9a4550bae21b8e14f2ff992,can_736c4515a83c5c4d99d7bbb1acdd5f7a,2018-10-22,councillor,ward-23,Cynthia Lai,Cynthia Lai,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w24_ainslie,toronto_sun_editorial_board,con_7e6cf2fd75ba560a900bb024e72fe99c,can_a138036d836c5c8da46d76df542f931f,2018-10-22,councillor,ward-24,Paul Ainslie,Paul Ainslie,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
sun_2018_w25_mckelvie,toronto_sun_editorial_board,con_eeda9883ca2d57148405d41f7f5a80a4,can_76a5898fec8b5e3983638f5c9354afe3,2018-10-22,councillor,ward-25,Jennifer Mckelvie,Jennifer McKelvie,confirmed,editorial_choice,2018-10-20,day,publisher_editorial_authenticated_archive,https://www.proquest.com/docview/2125467176,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council
